# Published artifact sizes in bytes, held by scripts/check-artifact-size.sh.
#
# A line more than 10 percent above this baseline fails CI. Rewrite the file with
# ./scripts/check-artifact-size.sh --update in the commit that moved the size, and put the
# old and new numbers in the commit message.
#
# module target bytes
kiteplayer-core jvm 1441505
kiteplayer-core android 1319237
kiteplayer-core macosArm64 1236062
kiteplayer-core iosArm64 1236048
kiteplayer-subtitles jvm 139567
kiteplayer-subtitles android 136592
kiteplayer-subtitles macosArm64 160652
kiteplayer-subtitles iosArm64 160639
kiteplayer-io jvm 16937
kiteplayer-io android 19301
kiteplayer-io macosArm64 17458
kiteplayer-io iosArm64 17445
kiteplayer-rt macosArm64 4737
kiteplayer-rt iosArm64 4723
kiteplayer-rt macosArm64-cinterop-kitert 19928
kiteplayer-rt iosArm64-cinterop-kitert 19516
kiteplayer-ffmpeg jvm 251097
kiteplayer-ffmpeg android 236328
kiteplayer-ffmpeg macosArm64 264428
kiteplayer-ffmpeg iosArm64 264414
kiteplayer-output jvm 86417
kiteplayer-output android 294013
kiteplayer-output macosArm64 295903
kiteplayer-output iosArm64 277505
kiteplayer-output macosArm64-cinterop-kitemetal 9255
kiteplayer-output iosArm64-cinterop-kitemetal 8731
kiteplayer-view jvm 35974
kiteplayer-view android 41115
kiteplayer-view macosArm64 43833
kiteplayer-view iosArm64 56812
kiteplayer-view-bindings jvm 8262
kiteplayer-view-bindings android 6535
kiteplayer-view-bindings iosArm64 13478
kiteplayer jvm 72135
kiteplayer android 171770
kiteplayer macosArm64 66595
kiteplayer iosArm64 89145
kiteplayer-compose-interop jvm 12513
kiteplayer-compose-interop android 10155
kiteplayer-compose-interop iosArm64 12965
kiteplayer-compose-video jvm 87587
kiteplayer-compose-video android 115885
kiteplayer-compose-video iosArm64 90981
kiteplayer-compose-ui jvm 18599
kiteplayer-compose-ui android 19744
kiteplayer-compose-ui iosArm64 20344
kiteplayer-phone jvm 1894
kiteplayer-phone android 2909
kiteplayer-phone iosArm64 9679
kiteplayer-compose jvm 1772
kiteplayer-compose android 1625
kiteplayer-compose iosArm64 5698
kiteplayer-libass jvm 6164337
kiteplayer-libass android 4103174
kiteplayer-libass macosArm64 35726
kiteplayer-libass iosArm64 35713
kiteplayer-libass macosArm64-cinterop-libass 1780497
kiteplayer-libass iosArm64-cinterop-libass 1734049
kiteplayer-network jvm 134700
kiteplayer-network android 125813
kiteplayer-network macosArm64 107350
kiteplayer-network iosArm64 107336
kiteplayer-audioviz jvm 1458493
kiteplayer-audioviz android 1381574
kiteplayer-audioviz iosArm64 2284564
